data_fim;empresa;observado;previsto;diff
2003-10-17;Sensus;12.3;12.9;-0.6
2003-10-29;Datafolha;11.0;13.0;-2.0
2003-12-04;Sensus;12.9;14.3;-1.4
2003-12-08;Ibope;14.0;15.4;-1.4
2003-12-15;Datafolha;15.0;14.5;0.5
2004-02-06;Sensus;15.1;16.4;-1.3
2004-03-01;Datafolha;17.0;19.1;-2.1
2004-03-25;Ibope;23.0;20.2;2.8
2004-03-26;Sensus;19.4;18.8;0.6
2004-03-31;Ibope;23.0;20.3;2.7
2004-05-09;Sensus;20.0;19.6;0.4
2004-06-17;Sensus;24.1;21.1;3.0
2004-06-21;Ibope;26.0;22.4;3.6
2004-08-04;Sensus;17.7;17.5;0.2
2004-08-19;Datafolha;17.0;17.7;-0.7
2004-09-14;Ibope;19.0;18.3;0.7
2004-09-23;Sensus;16.4;17.0;-0.6
2004-11-29;Ibope;16.0;17.1;-1.1
2004-12-04;Sensus;14.4;16.4;-2.0
2004-12-17;Datafolha;13.0;16.5;-3.5
2005-02-15;Sensus;13.9;16.3;-2.4
2005-04-14;Sensus;16.0;16.6;-0.6
2005-05-14;Ibope;17.0;19.3;-2.3
2005-05-27;Sensus;18.8;18.0;0.8
2005-06-01;Datafolha;18.0;20.0;-2.0
2005-06-06;Ibope;21.0;21.1;-0.1
2005-06-13;Ibope;22.0;21.2;0.8
2005-06-16;Datafolha;19.0;20.0;-1.0
2005-06-18;Ibope;24.0;21.2;2.8
2005-07-07;Sensus;20.0;22.4;-2.4
2005-07-21;Datafolha;23.0;22.6;0.4
2005-08-10;Datafolha;26.0;26.5;-0.5
2005-08-17;Ibope;31.0;27.8;3.2
2005-08-22;Ibope;31.0;27.9;3.1
2005-09-08;Sensus;24.0;26.9;-2.9
2005-09-12;Ibope;32.0;28.6;3.4
2005-10-13;Ibope;28.0;28.7;-0.7
2005-10-21;Datafolha;28.0;27.3;0.7
2005-11-17;Sensus;29.0;27.8;1.2
2005-12-07;Ibope;32.0;30.1;1.9
2005-12-14;Datafolha;29.0;28.5;0.5
2006-01-16;Ibope;27.0;26.9;0.1
2006-02-02;Datafolha;23.0;23.4;-0.4
2006-02-09;Sensus;21.4;23.2;-1.8
2006-02-21;Datafolha;22.0;23.5;-1.5
2006-03-11;Ibope;22.0;23.8;-1.8
2006-03-17;Datafolha;23.0;22.6;0.4
2006-04-06;Sensus;24.1;21.5;2.6
2006-04-07;Datafolha;23.0;21.8;1.2
2006-05-12;Ibope;19.0;22.5;-3.5
2006-05-21;Sensus;22.2;21.2;1.0
2006-05-24;Datafolha;22.0;21.4;0.6
2006-06-07;Ibope;19.0;21.1;-2.1
2006-07-06;Sensus;19.3;19.9;-0.6
2006-07-18;Datafolha;21.0;20.2;0.8
2006-07-24;Ibope;26.0;21.3;4.7
2006-07-31;Ibope;19.0;21.3;-2.3
2006-08-04;Sensus;15.6;17.8;-2.2
2006-08-08;Datafolha;18.0;18.0;0.0
2006-08-09;Ibope;22.0;19.0;3.0
2006-08-17;Ibope;21.0;19.1;1.9
2006-08-22;Datafolha;16.0;18.0;-2.0
2006-08-25;Ibope;17.0;19.1;-2.1
2006-08-29;Datafolha;16.0;17.9;-1.9
2006-08-31;Ibope;18.0;19.1;-1.1
2006-09-05;Datafolha;18.0;17.9;0.1
2006-09-07;Ibope;19.0;19.0;0.0
2006-09-11;Ibope;16.0;19.0;-3.0
2006-09-12;Datafolha;18.0;17.9;0.1
2006-09-19;Datafolha;18.0;17.9;0.1
2006-09-20;Ibope;19.0;19.0;0.0
2006-09-22;Datafolha;18.0;17.9;0.1
2006-09-22;Ibope;20.0;19.0;1.0
2006-09-26;Ibope;21.0;18.9;2.1
2006-09-27;Datafolha;17.0;17.8;-0.8
2006-10-06;Datafolha;17.0;16.0;1.0
2006-10-10;Datafolha;17.0;16.1;0.9
2006-10-11;Ibope;20.0;16.9;3.1
2006-10-17;Datafolha;15.0;16.0;-1.0
2006-10-19;Ibope;15.0;16.9;-1.9
2006-10-24;Datafolha;15.0;16.0;-1.0
2006-10-25;Ibope;15.0;17.0;-2.0
2006-12-10;Ibope;13.0;15.8;-2.8
2006-12-13;Datafolha;14.0;14.8;-0.8
2007-01-15;Projeção;14.0;13.3;0.7
2007-03-20;Datafolha;14.0;13.8;0.2
2007-04-02;Ibope;16.0;16.1;-0.1
2007-04-06;Sensus;14.6;15.0;-0.4
2007-04-11;MDA;14.6;15.6;-1.0
2007-06-22;Sensus;14.0;14.4;-0.4
2007-07-01;Ibope;16.0;16.6;-0.6
2007-08-02;Datafolha;15.0;15.6;-0.6
2007-09-18;Ibope;18.0;16.4;1.6
2007-10-12;Sensus;16.5;15.2;1.3
2007-11-29;Datafolha;14.0;14.7;-0.7
2007-12-05;Ibope;17.0;15.1;1.9
2008-02-16;Sensus;13.7;12.9;0.8
2008-03-12;Ibope;11.0;12.3;-1.3
2008-03-23;Ibope;11.0;12.3;-1.3
2008-03-27;Datafolha;11.0;11.7;-0.7
2008-04-25;Sensus;11.3;10.6;0.7
2008-06-10;Ibope;12.0;10.9;1.1
2008-06-23;Ibope;12.0;10.9;1.1
2008-09-10;Ibope;8.0;8.5;-0.5
2008-09-11;Datafolha;8.0;8.0;0.0
2008-09-19;Sensus;6.8;7.9;-1.1
2008-09-22;Ibope;8.0;8.5;-0.5
2008-11-28;Datafolha;7.0;7.5;-0.5
2008-12-08;Ibope;6.0;7.3;-1.3
2008-12-12;Sensus;6.4;6.8;-0.4
2008-12-15;Ibope;6.0;7.4;-1.4
2009-01-30;Sensus;5.0;7.2;-2.2
2009-03-10;Ibope;5.0;7.4;-2.4
2009-03-15;Ibope;10.0;7.4;2.6
2009-03-19;Datafolha;8.0;6.9;1.1
2009-03-27;Sensus;7.6;6.8;0.8
2009-04-18;Ibope;5.0;6.4;-1.4
2009-05-28;Datafolha;6.0;5.7;0.3
2009-05-29;Sensus;5.8;5.6;0.2
2009-06-01;Ibope;8.0;5.4;2.6
2009-06-03;Ibope;5.0;5.5;-0.5
2009-06-21;Ibope;3.0;5.5;-2.5
2009-06-30;Ibope;4.0;5.5;-1.5
2009-07-29;Ibope;4.0;5.5;-1.5
2009-08-13;Datafolha;8.0;5.3;2.7
2009-08-15;Ibope;4.0;5.6;-1.6
2009-08-26;Ibope;4.0;5.7;-1.7
2009-09-02;Ibope;4.0;5.7;-1.7
2009-09-04;Sensus;7.2;5.3;1.9
2009-09-14;Ibope;9.0;5.7;3.3
2009-09-16;Ibope;4.0;5.7;-1.7
2009-09-23;Ibope;4.0;5.7;-1.7
2009-09-27;Ibope;4.0;5.7;-1.7
2009-11-20;Sensus;6.2;5.4;0.8
2009-11-30;Ibope;6.0;5.9;0.1
2009-12-18;Datafolha;6.0;5.7;0.3
2010-01-29;Sensus;5.8;5.7;0.1
2010-02-25;Datafolha;5.0;5.3;-0.3
2010-03-26;Datafolha;4.0;5.1;-1.1
2010-04-16;Datafolha;5.0;5.0;0.0
2010-05-14;Sensus;4.4;4.5;-0.1
2010-05-21;Datafolha;5.0;4.6;0.4
2010-07-01;Datafolha;4.0;4.7;-0.7
2010-07-23;Datafolha;4.0;4.7;-0.7
2010-08-02;Sensus;4.6;4.4;0.2
2010-08-12;Datafolha;4.0;4.5;-0.5
2010-08-24;Datafolha;4.0;4.4;-0.4
2010-09-09;Datafolha;4.0;4.4;-0.4
2010-09-12;Sensus;3.9;4.3;-0.4
2010-09-15;Datafolha;4.0;4.4;-0.4
2010-09-22;Datafolha;4.0;4.3;-0.3
2010-09-28;Sensus;4.0;4.3;-0.3
2010-10-08;Datafolha;4.0;4.0;0.0
2010-10-15;Datafolha;4.0;4.0;0.0
2010-10-21;Datafolha;3.0;4.0;-1.0
2010-10-26;Datafolha;3.0;4.0;-1.0
2010-11-19;Datafolha;4.0;4.0;0.0
2010-12-27;Sensus;2.2;3.6;-1.4
2011-01-15;Projeção;7.0;10.4;-3.4
2011-03-16;Datafolha;7.0;9.1;-2.1
2011-03-23;Ibope;5.0;9.8;-4.8
2011-06-10;Datafolha;10.0;10.3;-0.3
2011-07-31;Ibope;12.0;10.4;1.6
2011-08-04;Datafolha;11.0;10.0;1.0
2011-08-12;CNT;9.3;10.5;-1.2
2011-08-12;Sensus;9.3;10.0;-0.7
2011-09-20;Ibope;11.0;10.0;1.0
2011-12-05;Ibope;9.0;9.1;-0.1
2012-01-19;Datafolha;6.0;8.0;-2.0
2012-03-19;Ibope;8.0;8.3;-0.3
2012-04-19;Datafolha;5.0;7.6;-2.6
2012-06-19;Ibope;8.0;8.2;-0.2
2012-07-26;MDA;7.0;8.0;-1.0
2012-08-09;Datafolha;7.0;7.7;-0.7
2012-09-21;Ibope;7.0;8.9;-1.9
2012-12-09;Ibope;7.0;8.8;-1.8
2012-12-13;Datafolha;7.0;8.2;-1.2
2013-03-11;Ibope;7.0;10.7;-3.7
2013-03-21;Datafolha;7.0;10.0;-3.0
2013-06-05;MDA;9.0;14.2;-5.2
2013-06-07;Datafolha;9.0;13.7;-4.7
2013-06-11;Ibope;13.0;14.6;-1.6
2013-06-28;Datafolha;25.0;13.8;11.2
2013-07-10;MDA;29.5;22.0;7.5
2013-07-12;Ibope;31.0;22.7;8.3
2013-08-09;Datafolha;22.0;21.3;0.7
2013-09-04;MDA;21.9;21.0;0.9
2013-09-17;Ibope;22.0;21.7;0.3
2013-10-11;Datafolha;19.0;20.2;-1.2
2013-11-04;MDA;22.7;20.6;2.1
2013-11-29;Datafolha;17.0;20.0;-3.0
2013-12-02;Ibope;20.0;22.2;-2.2
2014-02-14;MDA;24.8;23.8;1.0
2014-02-20;Datafolha;21.0;23.1;-2.1
2014-03-17;Ibope;27.0;26.7;0.3
2014-04-03;Datafolha;25.0;26.9;-1.9
2014-04-14;Ibope;30.0;28.2;1.8
2014-04-25;MDA;30.6;27.6;3.0
2014-05-08;Datafolha;26.0;28.0;-2.0
2014-05-19;Ibope;30.0;29.4;0.6
2014-06-05;Datafolha;28.0;30.1;-2.1
2014-06-07;Ibope;35.0;31.6;3.4
2014-06-15;Ibope;33.0;31.6;1.4
2014-07-02;Datafolha;26.0;28.4;-2.4
2014-07-16;Datafolha;29.0;28.4;0.6
2014-07-21;Ibope;33.0;29.9;3.1
2014-08-06;Ibope;31.0;28.6;2.4
2014-08-12;MDA;28.9;27.7;1.2
2014-08-15;Datafolha;23.0;27.1;-4.1
2014-08-24;MDA;28.8;27.6;1.2
2014-08-25;Ibope;29.0;28.4;0.6
2014-08-29;Datafolha;26.0;27.1;-1.1
2014-09-02;Ibope;26.0;26.4;-0.4
2014-09-03;Datafolha;24.0;25.0;-1.0
2014-09-04;Sensus;29.7;24.8;4.9
2014-09-07;MDA;23.0;25.7;-2.7
2014-09-08;Ibope;28.0;26.4;1.6
2014-09-09;Datafolha;24.0;25.0;-1.0
2014-09-15;Ibope;28.0;26.4;1.6
2014-09-18;Datafolha;24.0;25.1;-1.1
2014-09-21;MDA;25.1;25.6;-0.5
2014-09-22;Ibope;28.0;26.4;1.6
2014-09-26;Datafolha;22.0;25.0;-3.0
2014-09-28;MDA;24.0;25.7;-1.7
2014-09-29;Ibope;28.0;26.4;1.6
2014-09-30;Datafolha;23.0;25.0;-2.0
2014-10-01;Ibope;26.0;23.7;2.3
2014-10-02;Datafolha;23.0;22.4;0.6
2014-10-04;Ibope;27.0;23.7;3.3
2014-10-08;Ibope;27.0;23.8;3.2
2014-10-09;Datafolha;22.0;22.5;-0.5
2014-10-12;Ibope;25.0;23.7;1.3
2014-10-14;Ibope;25.0;23.8;1.2
2014-10-15;Datafolha;21.0;22.5;-1.5
2014-10-19;Vox Populi;21.0;27.2;-6.2
2014-10-20;Datafolha;20.0;22.5;-2.5
2014-10-23;Datafolha;19.0;22.4;-3.4
2014-10-23;Ibope;23.0;23.8;-0.8
2014-10-25;Datafolha;19.0;22.5;-3.5
2014-12-03;Datafolha;24.0;24.2;-0.2
2014-12-08;Ibope;27.0;25.6;1.4
2019-01-10;IDEIA Big Data;22.0;18.1;3.9
2019-01-15;Ipespe;20.0;19.1;0.9
2019-01-21;IDEIA Big Data;21.0;18.1;2.9
2019-01-30;IDEIA Big Data;22.0;18.1;3.9
2019-01-30;Ibope;11.0;17.9;-6.9
2019-02-07;IDEIA Big Data;26.0;21.4;4.6
2019-02-10;Ipespe;17.0;22.4;-5.4
2019-02-23;MDA;19.0;20.5;-1.5
2019-02-26;Ibope;19.0;21.1;-2.1
2019-02-27;IDEIA Big Data;30.0;21.2;8.8
2019-03-01;Ipespe;24.0;26.8;-2.8
2019-03-07;IDEIA Big Data;30.0;25.4;4.6
2019-03-19;Real Time Big Data;25.0;25.1;-0.1
2019-03-21;IDEIA Big Data;30.0;25.3;4.7
2019-03-28;Atlas;27.1;31.1;-4.0
2019-03-28;Ibope;24.0;25.3;-1.3
2019-03-31;Paraná;22.2;23.4;-1.2
2019-04-01;Ipespe;26.0;27.5;-1.5
2019-04-03;Datafolha;30.0;24.6;5.4
2019-04-04;IDEIA Big Data;31.0;26.1;4.9
2019-04-18;IDEIA Big Data;31.0;26.1;4.9
2019-04-25;Vox Populi;30.0;29.6;0.4
2019-04-28;Ibope;27.0;25.9;1.1
2019-04-30;Atlas;31.2;32.0;-0.8
2019-04-30;Instituto FSB;10.0;24.4;-14.4
2019-05-02;IDEIA Big Data;32.0;31.1;0.9
2019-05-02;Ipespe;34.0;32.5;1.5
2019-05-16;IDEIA Big Data;32.0;31.3;0.7
2019-05-29;Atlas;36.2;37.6;-1.4
2019-05-30;IDEIA Big Data;32.0;31.2;0.8
2019-06-01;Ipespe;35.0;33.9;1.1
2019-06-15;Ibpad;35.5;32.8;2.7
2019-06-26;Ibope;32.0;32.2;-0.2
2019-06-27;IDEIA Big Data;31.0;32.3;-1.3
2019-06-30;Atlas;37.4;38.9;-1.5
2019-07-01;Ipespe;35.0;34.2;0.8
2019-07-11;IDEIA Big Data;31.0;32.7;-1.7
2019-07-25;IDEIA Big Data;31.0;32.8;-1.8
2019-07-25;Paraná;31.2;30.3;0.9
2019-07-27;Datafolha;33.0;30.9;2.1
2019-07-29;Atlas;39.3;39.3;0.0
2019-08-01;Ibpad;28.8;33.8;-5.0
2019-08-02;Ipespe;38.0;34.9;3.1
2019-08-08;IDEIA Big Data;31.0;33.5;-2.5
2019-08-18;Instituto FSB;35.0;31.4;3.6
2019-08-21;Ranking Brasil;17.0;30.2;-13.2
2019-08-22;IDEIA Big Data;31.0;33.3;-2.3
2019-08-25;MDA;39.5;32.3;7.2
2019-08-26;Vox Populi;40.0;37.3;2.7
2019-08-30;Datafolha;38.0;31.7;6.3
2019-08-31;Ibpad;34.6;33.9;0.7
2019-09-01;Ipespe;41.0;36.5;4.5
2019-09-05;IDEIA Big Data;38.0;35.1;2.9
2019-09-19;IDEIA Big Data;31.0;35.0;-4.0
2019-09-22;Ibope;34.0;34.7;-0.7
2019-09-23;Orbis;38.4;38.3;0.1
2019-09-27;Ibpad;32.0;35.3;-3.3
2019-10-03;IDEIA Big Data;34.0;36.0;-2.0
2019-10-07;Instituto Methodus;40.0;37.3;2.7
2019-10-11;Ipespe;38.0;37.6;0.4
2019-10-14;Instituto FSB;35.0;33.9;1.1
2019-10-15;Paraná;36.0;33.6;2.4
2019-10-17;IDEIA Big Data;34.0;36.1;-2.1
2019-10-31;IDEIA Big Data;35.0;36.1;-1.1
2019-11-01;Ibpad;42.0;36.3;5.7
2019-11-08;Ipespe;39.0;37.6;1.4
2019-11-11;Atlas;42.1;42.7;-0.6
2019-11-14;IDEIA Big Data;30.0;35.9;-5.9
2019-11-15;Quaest;36.0;39.7;-3.7
2019-11-16;INCT/IDDC;49.5;39.2;10.3
2019-11-28;IDEIA Big Data;32.0;35.9;-3.9
2019-12-02;Instituto FSB;35.0;31.9;3.1
2019-12-06;Datafolha;36.0;32.1;3.9
2019-12-08;Ibope;38.0;33.7;4.3
2019-12-08;Ibpad;34.5;34.3;0.2
2019-12-12;IDEIA Big Data;34.0;33.9;0.1
2019-12-15;Quaest;32.0;37.7;-5.7
2019-12-15;Vox Populi;42.0;37.9;4.1
2019-12-20;Paraná;23.3;31.6;-8.3
2019-12-26;IDEIA Big Data;30.0;33.9;-3.9
2020-01-09;IDEIA Big Data;30.0;32.2;-2.2
2020-01-15;Ipespe;39.0;33.8;5.2
2020-01-18;MDA;31.0;31.1;-0.1
2020-01-23;IDEIA Big Data;34.0;32.2;1.8
2020-01-30;Ranking Brasil;24.9;28.9;-4.0
2020-02-01;Ibpad;32.0;32.1;-0.1
2020-02-06;IDEIA Big Data;28.0;31.7;-3.7
2020-02-09;Atlas;37.8;38.1;-0.3
2020-02-10;Instituto FSB;31.0;29.6;1.4
2020-02-13;IDEIA Big Data;27.0;31.7;-4.7
2020-02-18;Ipespe;36.0;33.0;3.0
2020-02-20;IDEIA Big Data;29.0;31.7;-2.7
2020-03-05;IDEIA Big Data;26.0;31.5;-5.5
2020-03-05;Quaest;35.0;35.1;-0.1
2020-03-18;Atlas;41.0;38.1;2.9
2020-03-18;Ipespe;36.0;33.1;2.9
2020-03-19;IDEIA Big Data;20.0;31.5;-11.5
2020-03-19;Instituto FSB;26.0;29.5;-3.5
2020-03-24;Ranking Brasil;24.9;28.3;-3.4
2020-03-25;IDEIA Big Data;36.0;31.6;4.4
2020-03-25;Quaest;40.0;35.2;4.8
2020-03-27;Instituto FSB;34.0;29.6;4.4
2020-04-01;IDEIA Big Data;37.0;39.4;-2.4
2020-04-01;Ipespe;42.0;41.1;0.9
2020-04-05;Quaest;45.0;43.3;1.7
2020-04-05;Ranking Brasil;35.8;35.8;0.0
2020-04-08;IDEIA Big Data;34.0;39.4;-5.4
2020-04-15;Ipespe;40.0;41.1;-1.1
2020-04-15;PoderData;33.0;41.0;-8.0
2020-04-15;Vox Populi;38.0;38.4;-0.4
2020-04-22;Ipespe;42.0;41.0;1.0
2020-04-24;Ipespe;42.0;41.1;0.9
2020-04-26;Atlas;49.2;46.5;2.7
2020-04-26;Quaest;48.0;43.4;4.6
2020-04-27;Datafolha;38.0;38.5;-0.5
2020-04-29;Paraná;39.4;36.8;2.6
2020-04-29;PoderData;40.0;41.0;-1.0
2020-04-30;IDEIA Big Data;41.0;39.4;1.6
2020-04-30;Ipespe;49.0;41.0;8.0
2020-04-30;Renascença;37.0;38.5;-1.5
2020-05-02;Ranking Brasil;44.3;40.7;3.6
2020-05-04;Instituto FSB;45.0;42.0;3.0
2020-05-07;IDEIA Big Data;43.0;44.4;-1.4
2020-05-10;MDA;43.4;44.0;-0.6
2020-05-13;PoderData;39.0;46.1;-7.1
2020-05-14;IDEIA Big Data;44.0;44.4;-0.4
2020-05-17;Offerwise;39.6;43.7;-4.1
2020-05-19;Ipespe;50.0;46.2;3.8
2020-05-21;Atlas;58.0;51.7;6.3
2020-05-21;IDEIA Big Data;47.0;44.4;2.6
2020-05-22;Orbis;52.6;48.1;4.5
2020-05-24;Datafolha;44.0;43.5;0.5
2020-05-25;Paraná;37.6;41.8;-4.2
2020-05-26;Datafolha;43.0;43.5;-0.5
2020-05-26;Ranking Brasil;42.1;40.6;1.5
2020-05-27;Ipespe;49.0;46.2;2.8
2020-05-27;PoderData;44.0;46.1;-2.1
2020-06-04;IDEIA Big Data;50.0;47.0;3.0
2020-06-05;INCT/IDDC;50.3;48.1;2.2
2020-06-05;Orbis;52.5;50.7;1.8
2020-06-10;PoderData;47.0;48.6;-1.6
2020-06-11;Ipespe;48.0;48.7;-0.7
2020-06-13;Offerwise;41.6;46.2;-4.6
2020-06-15;Vox Populi;44.0;46.0;-2.0
2020-06-17;Quaest;54.0;51.1;2.9
2020-06-24;PoderData;48.0;48.7;-0.7
2020-06-25;IDEIA Big Data;49.0;46.9;2.1
2020-06-30;Atlas;56.0;54.2;1.8
2020-07-08;PoderData;46.0;44.3;1.7
2020-07-10;IDEIA Big Data;45.0;42.7;2.3
2020-07-15;Ipespe;45.0;44.3;0.7
